State,State_Code,District,District_Code,Market,Market_Code,Commodity,Commodity_Code,Variety,Grade,Min_Price,Max_Price,Modal_Price,Date
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,0,0,965,28 May 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,0,0,975,23 May 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,0,0,990,22 May 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,0,0,980,21 May 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,0,0,1000,20 May 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,0,0,1060,18 May 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,0,0,1040,17 May 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,0,0,1050,16 May 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,0,0,1125,15 May 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,0,0,1120,14 May 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,0,0,1140,13 May 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,0,0,1115,10 May 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,0,0,1100,09 May 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1090,1120,1105,07 May 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1100,1150,1120,06 May 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1080,1120,1100,05 May 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1100,1150,1110,04 May 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1080,1120,1100,03 May 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1100,1150,1120,02 May 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1100,1150,1125,30 Apr 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1100,1150,1120,29 Apr 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1100,1150,1120,28 Apr 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1100,1150,1130,27 Apr 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1100,1150,1120,26 Apr 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1090,1130,1100,25 Apr 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1100,1150,1125,24 Apr 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1100,1150,1120,23 Apr 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1080,1140,1100,22 Apr 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,400,450,420,21 Apr 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1140,1180,1155,20 Apr 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1120,1170,1150,19 Apr 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1140,1180,1160,18 Apr 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1200,1250,1215,17 Apr 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1200,1240,1220,16 Apr 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1180,1230,1200,15 Apr 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1200,1230,1210,14 Apr 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1200,1240,1205,13 Apr 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1190,1250,1210,12 Apr 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1190,1240,1215,11 Apr 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1180,1240,1205,09 Apr 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1200,1230,1210,08 Apr 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1200,1250,1225,07 Apr 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1220,1260,1240,06 Apr 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1200,1220,1210,05 Apr 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1200,1250,1230,04 Apr 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1200,1250,1225,03 Apr 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1180,1220,1200,02 Apr 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1220,1270,1240,31 Mar 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1220,1280,1260,30 Mar 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1220,1280,1250,29 Mar 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1220,1280,1260,28 Mar 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,890,930,900,27 Mar 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1220,1260,1240,26 Mar 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1220,1280,1250,25 Mar 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1200,1250,1220,24 Mar 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1200,1250,1225,23 Mar 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1200,1260,1240,22 Mar 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1220,1270,1250,21 Mar 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1320,1370,1340,20 Mar 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1300,1350,1325,19 Mar 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1320,1370,1350,18 Mar 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1320,1380,1355,17 Mar 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1320,1380,1352,16 Mar 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1320,1360,1340,15 Mar 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1320,1390,1350,14 Mar 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1300,1350,1320,13 Mar 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1400,1450,1415,12 Mar 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1400,1450,1425,11 Mar 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1390,1450,1410,10 Mar 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1390,1420,1410,09 Mar 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1400,1440,1415,08 Mar 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1400,1450,1425,07 Mar 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1380,1450,1420,06 Mar 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1400,1500,1440,04 Mar 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1400,1480,1440,03 Mar 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Onion,23,Red,FAQ,1400,1490,1450,02 Mar 2013
